Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.192566
8000, 8000, 3.127900
12000, 12000, 3.781177
16000, 16000, 4.085158
20000, 20000, 5.162753
24000, 24000, 5.731999
28000, 28000, 6.398725
32000, 32000, 6.592711
36000, 36000, 6.945675
40000, 40000, 6.766125
44000, 44000, 6.523257
48000, 48000, 6.603105
52000, 52000, 7.116773
56000, 56000, 7.272357
60000, 60000, 7.996103
64000, 64000, 8.946111
68000, 68000, 9.033733
72000, 72000, 9.479889
76000, 76000, 10.201128
80000, 80000, 10.405668
84000, 84000, 10.452024
88000, 88000, 11.118487
92000, 92000, 11.528274
96000, 96000, 12.104832
100000, 100000, 12.828969
104000, 104000, 13.186817
108000, 108000, 13.746931
112000, 112000, 14.119895
116000, 116000, 13.806312
120000, 120000, 14.391038
124000, 124000, 14.772653
128000, 128000, 14.876760
132000, 132000, 14.999008
136000, 136000, 15.116768
140000, 140000, 15.119719
144000, 144000, 14.822499
148000, 148000, 15.052381
152000, 152000, 15.260882
156000, 156000, 15.499838
160000, 160000, 15.751246
164000, 164000, 15.832717
168000, 168000, 16.092052
172000, 172000, 16.429267
176000, 176000, 15.999297
180000, 180000, 16.184559
184000, 184000, 16.459449
188000, 188000, 16.708693
192000, 192000, 17.006920
196000, 196000, 17.007592
200000, 200000, 17.261741
204000, 204000, 17.322002
208000, 208000, 17.431876
212000, 212000, 17.677891
216000, 216000, 17.660236
220000, 220000, 17.821075
224000, 224000, 17.881116
228000, 228000, 18.119919
232000, 232000, 18.341650
236000, 236000, 18.556685
240000, 240000, 18.474442
244000, 244000, 18.450495
248000, 248000, 19.341756
252000, 252000, 19.411382
256000, 256000, 19.727122
260000, 260000, 19.865032
264000, 264000, 20.200988
268000, 268000, 20.236374
272000, 272000, 20.419586
276000, 276000, 20.376350
280000, 280000, 20.464292
284000, 284000, 20.804260
288000, 288000, 20.447722
292000, 292000, 20.562046
296000, 296000, 20.412147
300000, 300000, 19.717908
304000, 304000, 19.521125
308000, 308000, 19.876662
312000, 312000, 19.659670
316000, 316000, 19.360702
320000, 320000, 19.688173
324000, 324000, 20.012232
328000, 328000, 19.967071
332000, 332000, 19.635998
336000, 336000, 19.787722
340000, 340000, 20.049278
344000, 344000, 20.082669
348000, 348000, 20.394167
352000, 352000, 20.409397
356000, 356000, 20.213545
360000, 360000, 20.086129
364000, 364000, 20.214586
368000, 368000, 20.578959
372000, 372000, 21.092654
376000, 376000, 20.690892
380000, 380000, 20.311655
384000, 384000, 20.205144
388000, 388000, 20.414977
392000, 392000, 20.643950
396000, 396000, 20.647353
400000, 400000, 20.455294
