Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 1.858383
8000, 8000, 2.236638
12000, 12000, 2.323783
16000, 16000, 2.676630
20000, 20000, 3.134278
24000, 24000, 2.981659
28000, 28000, 2.904715
32000, 32000, 2.859093
36000, 36000, 2.738630
40000, 40000, 2.906396
44000, 44000, 3.118323
48000, 48000, 3.081297
52000, 52000, 3.009978
56000, 56000, 2.956050
60000, 60000, 2.984891
64000, 64000, 3.093896
68000, 68000, 3.172615
72000, 72000, 3.161978
76000, 76000, 3.045519
80000, 80000, 2.941348
84000, 84000, 2.930110
88000, 88000, 2.811616
92000, 92000, 2.669181
96000, 96000, 2.727213
100000, 100000, 2.813954
104000, 104000, 2.834986
108000, 108000, 2.924966
112000, 112000, 3.062869
116000, 116000, 3.259421
120000, 120000, 3.199741
124000, 124000, 3.167352
128000, 128000, 3.054519
132000, 132000, 3.113695
136000, 136000, 3.020497
140000, 140000, 3.288909
144000, 144000, 3.386038
148000, 148000, 3.455389
152000, 152000, 3.361521
156000, 156000, 3.316610
160000, 160000, 3.385196
164000, 164000, 3.450074
168000, 168000, 3.433133
172000, 172000, 3.422244
176000, 176000, 3.502146
180000, 180000, 3.522761
184000, 184000, 3.460101
188000, 188000, 3.371026
192000, 192000, 3.283710
196000, 196000, 3.089019
200000, 200000, 3.195163
204000, 204000, 3.104932
208000, 208000, 3.213929
212000, 212000, 3.181428
216000, 216000, 3.102542
220000, 220000, 3.131378
224000, 224000, 3.165671
228000, 228000, 3.240667
232000, 232000, 3.086939
236000, 236000, 3.057200
240000, 240000, 2.962495
244000, 244000, 3.130052
248000, 248000, 3.163709
252000, 252000, 3.147795
256000, 256000, 3.508459
260000, 260000, 3.519292
264000, 264000, 3.484938
268000, 268000, 3.472962
272000, 272000, 3.495521
276000, 276000, 3.479993
280000, 280000, 3.503116
284000, 284000, 3.487524
288000, 288000, 3.608236
292000, 292000, 3.707964
296000, 296000, 3.512638
300000, 300000, 3.465116
304000, 304000, 3.490057
308000, 308000, 3.387818
312000, 312000, 3.415824
316000, 316000, 3.324618
320000, 320000, 3.399780
324000, 324000, 3.301280
328000, 328000, 3.330347
332000, 332000, 3.177839
336000, 336000, 3.287909
340000, 340000, 3.347239
344000, 344000, 3.369370
348000, 348000, 3.413072
352000, 352000, 3.543004
356000, 356000, 3.821472
360000, 360000, 3.683733
364000, 364000, 3.773302
368000, 368000, 3.900565
372000, 372000, 3.804310
376000, 376000, 3.755740
380000, 380000, 3.797908
384000, 384000, 3.769405
388000, 388000, 3.826370
392000, 392000, 3.864006
396000, 396000, 3.708706
400000, 400000, 3.842443
