Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
490560, 490560, 0.052625, 0.049556, 0.045409, 0.047939, 0.034886, 0.076478
497280, 497280, 0.054470, 0.048810, 0.044580, 0.047553, 0.034115, 0.077163
504000, 504000, 0.052176, 0.050273, 0.047059, 0.047646, 0.036071, 0.076379
510720, 510720, 0.051235, 0.049983, 0.047524, 0.046856, 0.034925, 0.075123
517440, 517440, 0.051775, 0.050351, 0.046883, 0.047028, 0.035794, 0.075720
524160, 524160, 0.050557, 0.051000, 0.048367, 0.047046, 0.035852, 0.074315
530880, 530880, 0.051218, 0.049841, 0.046260, 0.046773, 0.034484, 0.074742
537600, 537600, 0.052107, 0.049004, 0.045064, 0.046504, 0.035054, 0.074947
544320, 544320, 0.050901, 0.049145, 0.045462, 0.046933, 0.034765, 0.074392
551040, 551040, 0.051990, 0.048484, 0.043326, 0.045953, 0.034680, 0.074083
557760, 557760, 0.051210, 0.049338, 0.044771, 0.046337, 0.035374, 0.074222
564480, 564480, 0.052091, 0.048655, 0.044016, 0.046671, 0.035351, 0.074794
571200, 571200, 0.050674, 0.048827, 0.045276, 0.046552, 0.035065, 0.073939
577920, 577920, 0.051248, 0.048377, 0.044524, 0.046140, 0.035107, 0.074064
584640, 584640, 0.051986, 0.048002, 0.044676, 0.046109, 0.036064, 0.074848
591360, 591360, 0.051198, 0.048338, 0.045824, 0.046325, 0.035290, 0.074225
598080, 598080, 0.050636, 0.047747, 0.046505, 0.045963, 0.033737, 0.074128
604800, 604800, 0.052388, 0.047619, 0.044929, 0.045092, 0.034666, 0.074347
611520, 611520, 0.050232, 0.048386, 0.045792, 0.045963, 0.034474, 0.073585
618240, 618240, 0.051327, 0.048533, 0.045783, 0.045560, 0.035429, 0.073618
624960, 624960, 0.050322, 0.048481, 0.045459, 0.044921, 0.034336, 0.072501
631680, 631680, 0.050232, 0.048585, 0.045674, 0.045066, 0.034053, 0.072589
638400, 638400, 0.049532, 0.048107, 0.046038, 0.044575, 0.034120, 0.072218
645120, 645120, 0.050296, 0.047624, 0.045193, 0.044902, 0.034376, 0.072802
651840, 651840, 0.050519, 0.048136, 0.046289, 0.045286, 0.033750, 0.073310
658560, 658560, 0.050837, 0.047612, 0.045795, 0.044894, 0.034277, 0.073483
665280, 665280, 0.050656, 0.047303, 0.044905, 0.044844, 0.034374, 0.073130
672000, 672000, 0.050010, 0.047630, 0.045977, 0.044874, 0.034597, 0.073112
