Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 1.947034
8000, 8000, 2.376086
12000, 12000, 2.598634
16000, 16000, 4.068967
20000, 20000, 4.829406
24000, 24000, 5.308818
28000, 28000, 5.609986
32000, 32000, 6.007150
36000, 36000, 6.268262
40000, 40000, 6.933515
44000, 44000, 7.605410
48000, 48000, 7.401067
52000, 52000, 8.428613
56000, 56000, 9.175093
60000, 60000, 9.208528
64000, 64000, 9.557509
68000, 68000, 10.235531
72000, 72000, 10.495726
76000, 76000, 10.809850
80000, 80000, 11.266806
84000, 84000, 11.653481
88000, 88000, 11.395998
92000, 92000, 11.507918
96000, 96000, 12.054844
100000, 100000, 12.351949
104000, 104000, 12.762998
108000, 108000, 12.669812
112000, 112000, 13.182674
116000, 116000, 13.349397
120000, 120000, 13.511923
124000, 124000, 13.500690
128000, 128000, 14.248900
132000, 132000, 14.241307
136000, 136000, 14.898230
140000, 140000, 15.360274
144000, 144000, 15.009097
148000, 148000, 14.669566
152000, 152000, 14.586230
156000, 156000, 15.745716
160000, 160000, 15.868319
164000, 164000, 15.823744
168000, 168000, 15.952205
172000, 172000, 15.985984
176000, 176000, 16.393080
180000, 180000, 16.452044
184000, 184000, 17.130741
188000, 188000, 17.410489
192000, 192000, 17.618427
196000, 196000, 18.114407
200000, 200000, 18.098977
204000, 204000, 18.317930
208000, 208000, 18.539324
212000, 212000, 18.044520
216000, 216000, 18.009319
220000, 220000, 17.998619
224000, 224000, 18.087710
228000, 228000, 17.887542
232000, 232000, 18.085448
236000, 236000, 17.694437
240000, 240000, 18.132272
244000, 244000, 17.984575
248000, 248000, 18.369200
252000, 252000, 17.976561
256000, 256000, 18.256053
260000, 260000, 18.273679
264000, 264000, 19.034014
268000, 268000, 19.057144
272000, 272000, 19.150934
276000, 276000, 19.599355
280000, 280000, 20.156410
284000, 284000, 19.807427
288000, 288000, 19.293833
292000, 292000, 19.634703
296000, 296000, 19.813577
300000, 300000, 19.516246
304000, 304000, 19.355900
308000, 308000, 19.101254
312000, 312000, 18.863056
316000, 316000, 19.686511
320000, 320000, 19.655218
324000, 324000, 18.821535
328000, 328000, 18.918190
332000, 332000, 18.780201
336000, 336000, 18.550570
340000, 340000, 18.742680
344000, 344000, 18.888700
348000, 348000, 19.491249
352000, 352000, 19.670377
356000, 356000, 20.073658
360000, 360000, 20.212393
364000, 364000, 20.643533
368000, 368000, 20.227712
372000, 372000, 19.911498
376000, 376000, 19.558753
380000, 380000, 19.916033
384000, 384000, 19.765730
388000, 388000, 20.040682
392000, 392000, 19.561661
396000, 396000, 20.183906
400000, 400000, 20.278701
