Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.260792
8000, 8000, 2.660308
12000, 12000, 3.490977
16000, 16000, 4.305332
20000, 20000, 5.262371
24000, 24000, 5.854274
28000, 28000, 6.199992
32000, 32000, 6.766594
36000, 36000, 7.301481
40000, 40000, 7.306769
44000, 44000, 7.700681
48000, 48000, 7.871151
52000, 52000, 8.129981
56000, 56000, 8.945687
60000, 60000, 9.173407
64000, 64000, 9.073697
68000, 68000, 9.391066
72000, 72000, 9.828256
76000, 76000, 9.830330
80000, 80000, 10.287933
84000, 84000, 10.186351
88000, 88000, 10.842894
92000, 92000, 11.188880
96000, 96000, 11.448756
100000, 100000, 11.406484
104000, 104000, 11.954117
108000, 108000, 12.351984
112000, 112000, 12.730046
116000, 116000, 12.714256
120000, 120000, 12.882684
124000, 124000, 12.930704
128000, 128000, 13.718224
132000, 132000, 13.656473
136000, 136000, 14.030834
140000, 140000, 14.372142
144000, 144000, 14.205328
148000, 148000, 14.621086
152000, 152000, 14.839224
156000, 156000, 14.963791
160000, 160000, 15.500020
164000, 164000, 16.296943
168000, 168000, 16.204961
172000, 172000, 16.613095
176000, 176000, 17.102428
180000, 180000, 17.482507
184000, 184000, 18.069243
188000, 188000, 18.137908
192000, 192000, 18.751853
196000, 196000, 18.590946
200000, 200000, 18.971517
204000, 204000, 19.184297
208000, 208000, 19.597000
212000, 212000, 19.647638
216000, 216000, 19.568631
220000, 220000, 19.921321
224000, 224000, 19.797425
228000, 228000, 19.458841
232000, 232000, 19.860464
236000, 236000, 20.236638
240000, 240000, 20.578708
244000, 244000, 20.908146
248000, 248000, 21.179976
252000, 252000, 21.256304
256000, 256000, 21.219022
260000, 260000, 21.343057
264000, 264000, 21.617712
268000, 268000, 21.298261
272000, 272000, 21.660795
276000, 276000, 22.304606
280000, 280000, 22.085124
284000, 284000, 22.327596
288000, 288000, 22.362009
292000, 292000, 22.350887
296000, 296000, 21.999048
300000, 300000, 22.060695
304000, 304000, 21.784845
308000, 308000, 21.544615
312000, 312000, 21.548262
316000, 316000, 21.414214
320000, 320000, 21.561944
324000, 324000, 21.415803
328000, 328000, 21.334318
332000, 332000, 21.256526
336000, 336000, 20.908692
340000, 340000, 21.053531
344000, 344000, 21.048359
348000, 348000, 21.246229
352000, 352000, 21.161904
356000, 356000, 21.412952
360000, 360000, 21.667364
364000, 364000, 20.995891
368000, 368000, 20.691921
372000, 372000, 20.819098
376000, 376000, 20.838939
380000, 380000, 20.810435
384000, 384000, 21.002298
388000, 388000, 20.969118
392000, 392000, 21.462446
396000, 396000, 21.681369
400000, 400000, 21.752772
