Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 1.882488
8000, 8000, 2.057865
12000, 12000, 2.325553
16000, 16000, 2.176843
20000, 20000, 2.375408
24000, 24000, 2.474428
28000, 28000, 2.400359
32000, 32000, 2.427360
36000, 36000, 2.214347
40000, 40000, 2.182671
44000, 44000, 2.136934
48000, 48000, 2.036649
52000, 52000, 2.487641
56000, 56000, 2.648074
60000, 60000, 2.525263
64000, 64000, 2.195697
68000, 68000, 2.375610
72000, 72000, 2.774522
76000, 76000, 2.712134
80000, 80000, 2.656730
84000, 84000, 2.682280
88000, 88000, 2.264410
92000, 92000, 2.546961
96000, 96000, 2.543957
100000, 100000, 2.671348
104000, 104000, 2.675250
108000, 108000, 2.505262
112000, 112000, 3.040011
116000, 116000, 2.909190
120000, 120000, 2.958869
124000, 124000, 2.962000
128000, 128000, 2.821951
132000, 132000, 2.841718
136000, 136000, 2.816617
140000, 140000, 2.917167
144000, 144000, 2.908021
148000, 148000, 2.961336
152000, 152000, 2.953603
156000, 156000, 2.816107
160000, 160000, 3.007381
164000, 164000, 2.917372
168000, 168000, 2.832718
172000, 172000, 2.972649
176000, 176000, 2.903914
180000, 180000, 2.986964
184000, 184000, 2.959473
188000, 188000, 2.948008
192000, 192000, 2.903168
196000, 196000, 3.048231
200000, 200000, 3.040731
204000, 204000, 2.883297
208000, 208000, 3.097534
212000, 212000, 3.009091
216000, 216000, 3.079731
220000, 220000, 3.392538
224000, 224000, 3.267106
228000, 228000, 3.390860
232000, 232000, 3.719658
236000, 236000, 3.971214
240000, 240000, 4.029724
244000, 244000, 3.977739
248000, 248000, 3.975276
252000, 252000, 4.068925
256000, 256000, 4.028221
260000, 260000, 3.967167
264000, 264000, 3.692693
268000, 268000, 3.691699
272000, 272000, 3.515740
276000, 276000, 3.360673
280000, 280000, 3.252117
284000, 284000, 3.208993
288000, 288000, 3.114259
292000, 292000, 3.142065
296000, 296000, 2.995531
300000, 300000, 3.116238
304000, 304000, 3.204418
308000, 308000, 3.121159
312000, 312000, 3.089233
316000, 316000, 3.151821
320000, 320000, 3.235205
324000, 324000, 3.273265
328000, 328000, 3.305805
332000, 332000, 3.195501
336000, 336000, 3.364484
340000, 340000, 3.285781
344000, 344000, 3.136494
348000, 348000, 3.251718
352000, 352000, 3.102474
356000, 356000, 3.373165
360000, 360000, 3.739145
364000, 364000, 3.698724
368000, 368000, 3.471337
372000, 372000, 3.546852
376000, 376000, 3.464228
380000, 380000, 3.514347
384000, 384000, 3.389055
388000, 388000, 3.408658
392000, 392000, 3.434899
396000, 396000, 3.295791
400000, 400000, 3.226278
