Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
490560, 490560, 0.056793, 0.048696, 0.049559, 0.057961, 0.043596, 0.088912
497280, 497280, 0.056559, 0.047874, 0.049317, 0.057881, 0.042773, 0.088914
504000, 504000, 0.056102, 0.048201, 0.049226, 0.057468, 0.042574, 0.087952
510720, 510720, 0.056773, 0.047417, 0.047164, 0.057355, 0.042752, 0.088063
517440, 517440, 0.056600, 0.047592, 0.047981, 0.057244, 0.042429, 0.087703
524160, 524160, 0.056316, 0.047661, 0.047691, 0.057382, 0.042347, 0.087737
530880, 530880, 0.056226, 0.047027, 0.048851, 0.056904, 0.043425, 0.087491
537600, 537600, 0.055395, 0.046441, 0.049373, 0.056554, 0.041873, 0.086857
544320, 544320, 0.055067, 0.046521, 0.047429, 0.055696, 0.041471, 0.085742
551040, 551040, 0.056037, 0.046655, 0.046961, 0.055567, 0.041529, 0.085426
557760, 557760, 0.055544, 0.046652, 0.047498, 0.055602, 0.040294, 0.085610
564480, 564480, 0.053838, 0.046901, 0.047866, 0.054855, 0.039882, 0.084043
571200, 571200, 0.054083, 0.046747, 0.047194, 0.054804, 0.040579, 0.084034
577920, 577920, 0.054100, 0.046028, 0.047578, 0.054303, 0.040857, 0.083772
584640, 584640, 0.053120, 0.047416, 0.048347, 0.054596, 0.040011, 0.083665
591360, 591360, 0.053477, 0.045972, 0.047713, 0.054388, 0.040955, 0.083779
598080, 598080, 0.054102, 0.045612, 0.046923, 0.054142, 0.040413, 0.083511
604800, 604800, 0.053689, 0.046747, 0.046642, 0.054048, 0.040812, 0.083189
611520, 611520, 0.053739, 0.046494, 0.047887, 0.054458, 0.043644, 0.083477
618240, 618240, 0.053657, 0.046949, 0.048006, 0.054600, 0.041723, 0.083661
624960, 624960, 0.053473, 0.046799, 0.048399, 0.054375, 0.040481, 0.084078
631680, 631680, 0.053258, 0.046563, 0.048835, 0.055247, 0.040037, 0.084462
638400, 638400, 0.053102, 0.046959, 0.047930, 0.054533, 0.041753, 0.083349
645120, 645120, 0.054918, 0.045837, 0.046289, 0.054758, 0.040359, 0.084340
651840, 651840, 0.053795, 0.045339, 0.047813, 0.054753, 0.039788, 0.084128
658560, 658560, 0.053018, 0.046362, 0.047560, 0.054459, 0.040951, 0.083503
665280, 665280, 0.052845, 0.045038, 0.046360, 0.054211, 0.040594, 0.082878
672000, 672000, 0.051856, 0.046136, 0.047583, 0.053735, 0.040077, 0.081693
