Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.029078
8000, 8000, 3.101532
12000, 12000, 3.708315
16000, 16000, 4.454575
20000, 20000, 4.317812
24000, 24000, 5.048261
28000, 28000, 5.070492
32000, 32000, 5.409526
36000, 36000, 5.254981
40000, 40000, 5.781533
44000, 44000, 6.438664
48000, 48000, 6.276938
52000, 52000, 6.188518
56000, 56000, 6.499278
60000, 60000, 6.379364
64000, 64000, 6.062835
68000, 68000, 6.489561
72000, 72000, 6.293998
76000, 76000, 7.322786
80000, 80000, 7.646703
84000, 84000, 7.881443
88000, 88000, 8.065038
92000, 92000, 7.593823
96000, 96000, 7.914899
100000, 100000, 7.798678
104000, 104000, 8.042982
108000, 108000, 7.942111
112000, 112000, 8.309365
116000, 116000, 8.049834
120000, 120000, 8.383502
124000, 124000, 8.442666
128000, 128000, 8.278953
132000, 132000, 8.177083
136000, 136000, 8.042062
140000, 140000, 8.382984
144000, 144000, 8.480783
148000, 148000, 8.744715
152000, 152000, 8.668059
156000, 156000, 8.450153
160000, 160000, 9.115794
164000, 164000, 9.464759
168000, 168000, 9.444782
172000, 172000, 9.172315
176000, 176000, 9.130034
180000, 180000, 9.028280
184000, 184000, 9.071727
188000, 188000, 8.832128
192000, 192000, 8.936835
196000, 196000, 9.252117
200000, 200000, 9.604635
204000, 204000, 9.737873
208000, 208000, 9.670923
212000, 212000, 9.758555
216000, 216000, 9.806269
220000, 220000, 10.346141
224000, 224000, 10.522156
228000, 228000, 10.829101
232000, 232000, 10.543984
236000, 236000, 10.984971
240000, 240000, 10.913312
244000, 244000, 10.841814
248000, 248000, 11.141668
252000, 252000, 11.552935
256000, 256000, 11.892312
260000, 260000, 11.987350
264000, 264000, 11.322024
268000, 268000, 11.822004
272000, 272000, 11.925213
276000, 276000, 12.433414
280000, 280000, 12.324908
284000, 284000, 12.229261
288000, 288000, 12.728691
292000, 292000, 12.881793
296000, 296000, 13.025148
300000, 300000, 13.081835
304000, 304000, 13.388592
308000, 308000, 13.610535
312000, 312000, 13.525627
316000, 316000, 13.232934
320000, 320000, 14.095976
324000, 324000, 13.918219
328000, 328000, 14.588659
332000, 332000, 14.844786
336000, 336000, 14.619400
340000, 340000, 14.744629
344000, 344000, 15.234470
348000, 348000, 15.513756
352000, 352000, 15.169632
356000, 356000, 15.709242
360000, 360000, 15.244891
364000, 364000, 15.099183
368000, 368000, 15.513171
372000, 372000, 15.511438
376000, 376000, 15.886803
380000, 380000, 16.130759
384000, 384000, 16.216322
388000, 388000, 16.435311
392000, 392000, 16.704628
396000, 396000, 16.274226
400000, 400000, 17.091744
